  AUTODYN log file for worker process #           1
Element    13577 ERODED by material failure at cycle     131
Element    13627 ERODED by material failure at cycle     139
Element    13624 ERODED by material failure at cycle     139
Element    13579 ERODED by material failure at cycle     143
Element    13622 ERODED by material failure at cycle     147
Element    13580 ERODED by material failure at cycle     147
Element    13625 ERODED by material failure at cycle     147
Element    13652 ERODED by material failure at cycle     157
Element    13626 ERODED by material failure at cycle     157
Element    13581 ERODED by material failure at cycle     158
Element    13647 ERODED by material failure at cycle     159
Element    13582 ERODED by material failure at cycle     164
Element    13623 ERODED by material failure at cycle     167
Element    13629 ERODED by material failure at cycle     167
Element    13620 ERODED by material failure at cycle     168
Element    13690 ERODED by material failure at cycle     169
Element    13697 ERODED by material failure at cycle     170
Element    13654 ERODED by material failure at cycle     178
Element    13649 ERODED by material failure at cycle     178
Element    13695 ERODED by material failure at cycle     188
Element    13688 ERODED by material failure at cycle     188
Element    13726 ERODED by material failure at cycle     202
Element    13717 ERODED by material failure at cycle     203
Element    13575 ERODED by material failure at cycle     205
Element    13628 ERODED by material failure at cycle     207
Element    13631 ERODED by material failure at cycle     212
Element    13576 ERODED by material failure at cycle     216
Element    13650 ERODED by material failure at cycle     220
Element    13648 ERODED by material failure at cycle     230
Element    13630 ERODED by material failure at cycle     231
Element    13633 ERODED by material failure at cycle     235
Element    13756 ERODED by material failure at cycle     236
Element    13767 ERODED by material failure at cycle     237
Element    13692 ERODED by material failure at cycle     244
Element    13621 ERODED by material failure at cycle     246
Element    13715 ERODED by material failure at cycle     247
Element    13618 ERODED by material failure at cycle     250
Element    13699 ERODED by material failure at cycle     251
Element    13632 ERODED by material failure at cycle     253
Element    13656 ERODED by material failure at cycle     254
Element    13724 ERODED by material failure at cycle     257
Element    13643 ERODED by material failure at cycle     257
Element    13636 ERODED by material failure at cycle     258
Element    13651 ERODED by material failure at cycle     259
Element    13578 ERODED by material failure at cycle     261
Element    13635 ERODED by material failure at cycle     263
Element    13634 ERODED by material failure at cycle     265
Element    13645 ERODED by material failure at cycle     303
Element    13573 ERODED by material failure at cycle     316
Element    13571 ERODED by material failure at cycle     330
Element    13574 ERODED by material failure at cycle     334
Element    13572 ERODED by material failure at cycle     334
Element    13658 ERODED by material failure at cycle     335
Element    13653 ERODED by material failure at cycle     336
Element    13568 ERODED by material failure at cycle     353
Element    13660 ERODED by material failure at cycle     369
Element    13785 ERODED by material failure at cycle     371
Element    13798 ERODED by material failure at cycle     372
Element    13655 ERODED by material failure at cycle     377
Element    13583 ERODED by material failure at cycle     378
Element    13567 ERODED by material failure at cycle     381
Element    13662 ERODED by material failure at cycle     406
Element    13765 ERODED by material failure at cycle     415
Element    13657 ERODED by material failure at cycle     421
Element    13754 ERODED by material failure at cycle     433
Element    13664 ERODED by material failure at cycle     436
Element    13659 ERODED by material failure at cycle     447
Element    13666 ERODED by material failure at cycle     449
Element    13668 ERODED by material failure at cycle     457
Element    13661 ERODED by material failure at cycle     458
Element    13671 ERODED by material failure at cycle     468
Element    13663 ERODED by material failure at cycle     475
Element    13669 ERODED by material failure at cycle     477
Element    13665 ERODED by material failure at cycle     478
Element    13670 ERODED by material failure at cycle     479
Element    13667 ERODED by material failure at cycle     480
Element    13570 ERODED by material failure at cycle     480
Element    13694 ERODED by material failure at cycle     485
Element    13787 ERODED by material failure at cycle     510
Element    13701 ERODED by material failure at cycle     513
Element    13693 ERODED by material failure at cycle     611
Element    13646 ERODED by material failure at cycle     702
Element    13702 ERODED by material failure at cycle     727
